0,NodeID,WayID,Longitude,Latitude,RoadName,Gid,Distance
7040,4548141057,458883918,104.0809388,30.6220521,,13,118.7
7007,4548141062,458883908,104.0746056,30.6229357,,12,260.8
7042,4548141067,458883920,104.0742518,30.6253295,,34,202.5
2280,4548141073,114412855,104.081466,30.6249617,望江路,35,73.5
3057,1457872913,132546420,104.0995121,30.6878465,,346,226.2
1931,1159462933,100305406,104.0219601,30.6770618,石人西街,266,309.4
7051,4548141079,458883922,104.0684014,30.6226315,出,10,292.6
1939,1159462937,100305409,104.0237467,30.6766044,石人正街,266,180.5
7003,4548141082,458883907,104.0684086,30.6226915,出,10,297
3059,1457872927,132546473,104.1000338,30.6883096,,347,236.5
6317,5535137824,350461460,104.0454806,30.6778822,,292,186.2
7020,4548141087,458883913,104.0813778,30.6234574,望江路,35,241.1
8978,5535137823,577364620,104.0453007,30.6792777,,292,35.9
837,1159176227,37132267,104.0599734,30.6250578,玉林南街,31,92.1
3820,1159176228,136004889,104.0643543,30.6251747,人民南路四段 - Renminnanlu 4 Duan,32,156.1
5473,5535137829,267216226,104.0403726,30.6777239,永陵路,291,205.9
8980,5535137828,577364623,104.0409985,30.6786398,抚琴东巷,291,148.8
8982,5535137834,577364624,104.0406085,30.6780692,抚琴北巷,291,177.4
8984,5535137838,577364629,104.0412408,30.6777682,,291,237
3545,4449099823,132709864,104.1054802,30.6422134,二环路东三段,128,259.3
1941,1159462960,100305414,104.0234651,30.6755637,石人南街,266,89.4
3591,4449099824,132712143,104.1148706,30.6422787,迎晖路,129,238.8
3597,4449099825,132712146,104.1149212,30.6423485,迎晖路,129,238.1
6321,5535137840,350461460,104.0436256,30.6774706,,292,264.7
8986,5535137844,577364630,104.0406438,30.6795702,,291,79.1
672,3541393462,37130803,104.0231184,30.6893606,蜀蓉路,332,138.4
5536,3541393464,273759586,104.0224797,30.6862686,同兴路,332,295.2
7156,5535137848,458891622,104.0401317,30.6803058,一环路,291,93.3
3593,1459929146,132712143,104.1185657,30.6405233,迎晖路,108,165.4
7158,5535137850,458891622,104.0403018,30.6805867,一环路,291,128.2
8988,5535137851,577364633,104.0417748,30.6799395,抚琴东北路,291,193.1
3913,3541393470,136777280,104.0260069,30.6871359,蜀通街,332,233
5032,4449099839,224069164,104.1095829,30.6443829,,128,203.7
6268,3541393472,347931059,104.0235791,30.6875485,,332,118.9
6406,3580182592,352263098,104.0338654,30.6762222,文华路,268,151
9211,3541393471,587643292,104.0142139,30.6903614,星河街,330,213.4
5076,4449099845,228043748,104.1098074,30.6450247,,128,260.1
6610,5535137862,408290444,104.0442951,30.6819916,林巷子,314,235.1
6810,5535137863,430222574,104.0435251,30.6829219,花牌坊街,314,188.8
8990,5535137867,577364637,104.0435091,30.6834378,,314,159.9
6812,5535137870,430222574,104.0432912,30.6832011,花牌坊街,314,190.1
3537,4449099855,132647566,104.1060331,30.6463695,,150,246.5
7186,5535137872,458891635,104.0450093,30.6857802,一环路,314,197.9
3535,4449099857,132647550,104.1061508,30.6465315,,150,225.4
7256,5535137873,458896660,104.0449722,30.6858744,一环路,314,208.4
5488,2726912083,267220332,104.0551667,30.6798906,通锦桥路,294,52.1
4736,4400595030,193627675,104.0789696,30.6724672,,254,329.4
2980,1457815639,132538378,104.1091126,30.6941211,,370,183.7
3559,4449099864,132710404,104.1060983,30.6515263,双林中横路,172,190.6
4726,4400595034,193627675,104.0752209,30.6741326,,276,148
889,2712272987,37635705,104.0577278,30.6882776,一环路,338,215.5
2778,2726912093,124867107,104.0752805,30.6768743,北大街,276,231.3
3185,2712272990,132626001,104.0957913,30.6746153,一环路东一段,280,147.6
2759,2726912095,124867099,104.069223,30.6798807,,297,189.3
5346,2712272989,265587034,104.0938698,30.6527853,,169,179
6866,5529895009,430379528,104.0867774,30.6499076,东大街芷泉段,146,204.2
8857,5529895012,576573420,104.0881808,30.6501778,较场坝东街,146,269.2
6864,5529895014,430379528,104.0879721,30.6494111,东大街芷泉段,146,186.8
7258,5535137895,458896660,104.0424664,30.6847246,一环路,314,259.5
6824,5535137896,430222576,104.0420786,30.6847311,营门口路,313,230.8
6868,5529895016,430379528,104.0858769,30.6502819,东大街芷泉段,146,261.1
7146,5535137898,458891619,104.0427534,30.6836884,花牌坊街,314,222.1
7162,5535137897,458891622,104.0421697,30.6836988,一环路,313,227.3
8382,5535137899,571037931,104.0418585,30.6848099,营门口路,313,214.7
8855,5529895015,576573418,104.087185,30.6506396,较场坝中街,168,217.5
5009,314654830,222770437,104.0444735,30.628729,,50,162.4
8380,5535137904,571037931,104.041516,30.6852631,营门口路,313,214.4
8378,5535137912,571037931,104.0411044,30.685794,营门口路,313,234.1
8992,5535137913,577364648,104.0372269,30.6821086,营和巷,313,325.9
1273,5535137914,99811403,104.0354208,30.6829362,金琴路,312,142.4
8994,5535137915,577364648,104.0338668,30.6839592,营和巷,312,70.3
6250,5535137916,347930333,104.0365229,30.6809503,抚琴西街,290,244.1
6260,5535137917,347930334,104.0377309,30.6829708,抚琴街,313,230.8
6258,5535137918,347930334,104.0378021,30.6829392,抚琴街,313,226.7
8996,5535137920,577364649,104.0371239,30.6819392,抚琴街南三巷,312,333.5
9117,1159225485,577379396,104.0418702,30.7004126,,401,205.8
5322,5514125485,262047999,104.0878952,30.6419967,顺江路,124,205.8
1721,1159176366,100288923,104.0577093,30.6256022,玉洁巷,30,215.3
332,1159176368,28621532,104.0553279,30.6255469,玉林南路,30,15.1
394,5514125491,30597095,104.030115,30.6516155,,157,127.4
7269,5514125492,458896672,104.0300174,30.6516223,双元街,157,121.8
2036,1159504053,100306286,104.0213227,30.6972777,茶店子北街,375,229.7
2038,1159504057,100306286,104.0232884,30.6986686,茶店子北街,376,156.6
8505,5514125499,574476381,104.0313605,30.6524362,百吉街,157,191
396,5514125500,30597095,104.0299508,30.6524388,,157,57.2
218,5514125501,28620973,104.0313113,30.6501568,,135,297.2
2040,1159504060,100306286,104.0250799,30.7001994,茶店子北街,398,124.5
7305,5514125502,458896699,104.0313649,30.6532914,大石西路,157,207.4
2642,5514125506,116428415,104.0537606,30.6667265,长顺下街,228,181.7
3370,5514125512,132643751,104.0937887,30.6528039,,169,171.6
3360,5514125513,132643751,104.0959294,30.6562993,,192,151.5
5828,1159155218,299412598,104.1024389,30.642551,牛市口路,127,114.8
8515,5514125515,574476385,104.0948354,30.6543264,,170,302.4
8530,5514125516,574476389,104.0932152,30.6518982,一环路东四段,169,136.5
3693,1159155219,133484289,104.1020127,30.6428346,德胜上街,127,93.2
1795,1159143633,100292543,104.1010532,30.6715261,建设路,259,175.8
2539,1159143637,115625997,104.1027262,30.6673044,建设南一路,237,143
2263,1388445910,114412854,104.0725925,30.6467232,十七街,143,205.2
1323,3633021144,99989033,104.0638364,30.6641265,人民中路一段,230,292
6033,3633021146,314048286,104.0804884,30.6743295,东马道街,277,130.8
3947,1507393760,137394693,104.078773,30.6956612,,386,304.9
3613,1460306173,132735910,104.1123678,30.6550045,二环路东三段,195,234.1
3151,1458692371,132622918,104.0924499,30.6789366,,301,75
2665,1445519636,116428904,104.0636154,30.6461358,小天竺街,142,308.2
1759,4295754005,100292381,104.0550872,30.7010472,九里堤中路,404,39.7
3142,1458692379,132622918,104.0926752,30.6790406,,301,80.2
3148,1458692381,132622918,104.0921796,30.6791691,,301,40.4
3139,1458692382,132622724,104.0927202,30.6791691,,301,75.3
926,441221408,37637664,104.0229053,30.6459042,,134,269.3
3144,1458692386,132622918,104.0924529,30.6794016,,301,41.2
928,441221413,37637664,104.0229906,30.6461291,,134,243.3
5007,314655016,222770436,104.0440266,30.6280128,,50,252.2
356,314655017,28623856,104.0441076,30.6279823,,50,252.5
7372,4748173614,459085940,104.0158981,30.6238434,,22,288.1
7747,4748173617,481936338,104.018185,30.623765,,23,218.2
7743,4748173618,481936337,104.0188087,30.6230928,,1,219.2
7741,4748173619,481936337,104.0183999,30.6227748,,1,190.3
1168,4230611257,53114481,104.0728978,30.650756,红星路四段,165,262.7
6678,4230611259,422310407,104.072759,30.6508329,红星路四段,165,247.6
303,4230611261,28621530,104.0716757,30.6511163,锦兴路,165,169.3
358,314655039,28623856,104.0445255,30.627425,,28,206.8
